KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Kansas: Although the Governor has recommended pausing the move to phase out of the reopening plan, all businesses have reopened and the state has delegated decisionmaking authority to the local level.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kentucky: These states did not formally issue stay at home orders; however, other actions, including closing non-essential businesses, banning large gatherings, and issuing advisories urging residents to stay home, had the same effect. For these states, rolling back such measures is listed as easing/lifting the stay at home order.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine: All retail businesses can reopen with capacity limits in 13 rural counties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maine: Beginning in June, AK (6/6), FL (6/5), ME (6/8), and HI (6/16) provide exceptions to the mandatory traveler quarantine based on COVID test results (AK, ME), purpose of interstate travel (FL), travel from certain states (ME), or interisland travel (HI). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland: Local jurisdictions are permitted to impose tighter restrictions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland: Local jurisdictions are permitted to impose tighter restrictions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts: MA limits gatherings indoors to eight people per 1,000 square feet, not to be greater than 25 people, and gatherings outdoors to 25% of facility capacity, not to exceed 100 people.,The gathering ban listed for these states refers to the lowest indoor limit in a majority of the state; there are higher limits for outdoor or other settings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts: These states did not formally issue stay at home orders; however, other actions, including closing non-essential businesses, banning large gatherings, and issuing advisories urging residents to stay home, had the same effect. For these states, rolling back such measures is listed as easing/lifting the stay at home order.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan: Retail stores, office work that cannot be performed remotely, and restaurants with limited seating capacity may reopen in two of the state's eight regions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan: Retail stores, office work that cannot be performed remotely, and restaurants with limited seating capacity may reopen in two of the state's eight regions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan: Bars are closed for indoor service, but may still have outdoor service. Two of the state's eight regions are exempt from the closures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota: The gathering ban listed for these states refers to the lowest indoor limit in a majority of the state; there are higher limits for outdoor or other settings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota: In addition to employees, these states require patrons/visitors in limited sectors to wear face coverings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mississippi: In 13 of its 82 counties, MS has imposed new restrictions on gatherings greater than 20 outdoors and greater than 10 indoors, with a requirement for all attendees of public events to wear a face covering.,The gathering ban listed for these states refers to the lowest indoor limit in a majority of the state; there are higher limits for outdoor or other settings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mississippi: In 13 of its 82 counties, MS has imposed new restrictions on gatherings greater than 20 outdoors and greater than 10 indoors, with a requirement for all attendees of public events to wear a face covering.,In addition to employees, these states require patrons/visitors in limited sectors to wear face coverings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mississippi: In 13 of its 82 counties, MS has imposed new restrictions on gatherings greater than 20 outdoors and greater than 10 indoors, with a requirement for all attendees of public events to wear a face covering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mississippi: In 13 of its 82 counties, MS has imposed new restrictions on gatherings greater than 20 outdoors and greater than 10 indoors, with a requirement for all attendees of public events to wear a face covering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska: The gathering ban listed for these states refers to the lowest indoor limit in a majority of the state; there are higher limits for outdoor or other settings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska: NE has implemented less restrictive orders that allow restaurants to re-open with capacity limits in 13 of its 19 local health districts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nebraska: In addition to employees, these states require patrons/visitors in limited sectors to wear face coverings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nevada: Bars in counties determined to have Elevated Disease Transmission shall close, and restaurants in those counties will revert to Phase I service limitations. Currently, the order affects seven of 16 counties in Nevada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nevada: Bars in counties determined to have Elevated Disease Transmission shall close, and restaurants in those counties will revert to Phase I service limitations. Currently, the order affects seven of 16 counties in Nevada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nevada: Bars in counties determined to have Elevated Disease Transmission shall close, and restaurants in those counties will revert to Phase I service limitations. Currently, the order affects seven of 16 counties in Nevada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey: NJ limits gatherings indoors to 25% of room capacity, not to be greater than 100 people or smaller than 10 people, and gatherings outdoors to 500 people. All attendees must wear face masks and maintain six feet of distance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York: NY had previously cancelled its primary election until a court order mandated it be held.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York: Seven out of ten regions in NY are in Phase IV, which allows for large gatherings of up to 50 people. Gatherings are limited to 25 people in regions that remain in Phase III.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina: The gathering ban listed for these states refers to the lowest indoor limit in a majority of the state; there are higher limits for outdoor or other settings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio: Face masks required for the general public in counties that have a very high risk of exposure and spread.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon: There are three counties in OR that remain in phase 1 in which fewer non-essential businesses can reopen and large gatherings of more than 25 people are banned. One county in OR has not entered phase 1 yet, so non-essential businesses there remain closed, large gatherings of more than 10 people are banned, and restaurants remain closed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon: There are three counties in OR that remain in phase 1 in which fewer non-essential businesses can reopen and large gatherings of more than 25 people are banned. One county in OR has not entered phase 1 yet, so non-essential businesses there remain closed, large gatherings of more than 10 people are banned, and restaurants remain closed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon: There are three counties in OR that remain in phase 1 in which fewer non-essential businesses can reopen and large gatherings of more than 25 people are banned. One county in OR has not entered phase 1 yet, so non-essential businesses there remain closed, large gatherings of more than 10 people are banned, and restaurants remain closed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania: The gathering ban listed for these states refers to the lowest indoor limit in a majority of the state; there are higher limits for outdoor or other settings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee: TN has implemented less restrictive orders that allow non-essential businesses and restaurants to reopen in 89 of the state’s 95 counties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee: TN has implemented less restrictive orders that allow non-essential businesses and restaurants to reopen in 89 of the state’s 95 counties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee: TN has implemented less restrictive orders that allow non-essential businesses and restaurants to reopen in 89 of the state’s 95 counties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas: Face masks required in counties with more than 20 COVID-19 cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: The category totals for state face covering requirements may sum to more than 51 as some states may impose more than one type of requirement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah: Most counties are in the Yellow Phase (low risk) with the exception of Salt Lake City which is still in the Orange Phase (moderate). Ten counties are now in the Greeen (new normal) phase.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utah: In addition to employees, these states require patrons/visitors in limited sectors to wear face coverings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vermont: Travel without quarantine restrictions is allowed to and from the counties of ME, NH, MA, RI, CT, and NY with 400 or fewer active cases of COVID-19 per million.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington: Although most of the state is in Phase 2, some counties have been approved to move to Phase 3.,Except for counties in phase 3, bars remain closed and gatherings larger than five people are prohibited.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington: Except for counties in phase 3, bars remain closed and gatherings larger than five people are prohibited.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington: Although most of the state is in Phase 2, some counties have been approved to move to Phase 3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington: Although most of the state is in Phase 2, some counties have been approved to move to Phase 3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia: Bars closed in Monongalia County.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wisconsin: All social distancing restrictions were lifted by a WI Supreme Court ruling, not a decision by the Governor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wisconsin: All social distancing restrictions were lifted by a WI Supreme Court ruling, not a decision by the Governor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wisconsin: All social distancing restrictions were lifted by a WI Supreme Court ruling, not a decision by the Governor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wisconsin: All social distancing restrictions were lifted by a WI Supreme Court ruling, not a decision by the Governor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming: The gathering ban listed for these states refers to the lowest indoor limit in a majority of the state; there are higher limits for outdoor or other settings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For purposes of this table, states were included if they mandated the listed actions. A number of states released guidance or recommendations related to the actions listed in this table but fell short of issuing a requirement and are thus not included. For historical data, including dates of state actions, please see our [GitHub](https://github.com/KFFData/COVID-19-Data/tree/kff_master/State%20Policy%20Actions/State%20Social%20Distancing%20Actions) page.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State COVID-19 Health Policy Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District of Columbia: DC's special enrollment period was not adopted in response to coronavirus, but is open to a broad group of people, including those who are uninsured.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia: Both DC and NM are requiring insurers to waive cost-sharing for treatment of non-COVID respiratory illnesses such as pneumonia and influenza.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico: Both DC and NM are requiring insurers to waive cost-sharing for treatment of non-COVID respiratory illnesses such as pneumonia and influenza.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York: While NY has not explicitly waived prior authorization requirements for COVID-19 treatment, the state has directed insurers to suspend prior authorization for all outpatient services delivered at hospitals, which could include services related to COVID-19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma: OK requires a premium nonpayment grace period extension for all health insurance policies and prohibits insurers from canceling coverage for anyone diagnosed with COVID-19 and unable to return to work or maintain coverage due to COVID-19.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For purposes of this table, states were included if they required insurers to take the listed actions. A number of states released guidance or recommendations for insurers to take the actions listed in this table but fell short of issuing a requirement and are thus not included. * The Families First Coronavirus Response Act requires all group health plans and individual health insurance policies to cover testing and associated visits related to the diagnosis of COVID-19 with no cost sharing and prohibits them from imposing prior authorization requirements on these services during the federally declared emergency period. Federal law supersedes any state requirements. See [here](https://www.kff.org/other/state-indicator/paid-family-and-sick-leave/) for more detailed information on paid sick leave policies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hospital Beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data include staffed beds for community hospitals, which represent 85% of all hospitals. Figures may not sum to totals due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015 - 2018 AHA Annual Survey, Copyright 2019 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2019. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb). Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Community Hospitals:* All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public. *N/A*: Not applicable when state/local government, non-profit, or for-profit hospitals do not exist in the state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital Beds per 1,000 Population by Ownership Type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data include staffed beds for community hospitals, which represent 85% of all hospitals. Figures may not sum to totals due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999 - 2018 AHA Annual Survey, Copyright 2019 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2019. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb). Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Community Hospitals:* All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public. *N/A*: Not applicable when state/local government, non-profit, or for-profit hospitals do not exist in the state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital Emergency Room Visits per 1,000 Population by Ownership Type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are for community hospitals, which represent 85% of all hospitals. Figures may not sum to totals due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999 - 2018 AHA Annual Survey, Copyright 2019 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2019. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb). Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Emergency Room Visits*: Should reflect the number of visits to the emergency unit. Emergency outpatients can be admitted to the inpatient areas of the hospital, but they are still counted as emergency visits and subsequently as inpatient admissions. *Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public. *N/A*: Not applicable when state/local government, non-profit, or for-profit hospitals do not exist in the state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital Admissions per 1,000 Population by Ownership Type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are for community hospitals, which represent 85% of all hospitals. Figures may not sum to totals due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999 - 2018 AHA Annual Survey, Copyright 2019 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2019. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb). Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Community Hospitals*: All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public. *N/A*: Not applicable when state/local government, non-profit, or for-profit hospitals do not exist in the state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU Beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU Beds include coronary, trauma, surgical, burn, and general ICU beds in community and non-Federal hospitals. These data should not be compared with other hospital beds data from State Health Facts as the data for this indicator was produced using different data. Figures may not sum to totals due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFF analysis of merged American Hospital Directory and 2018 AHA Annual Survey data. Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Center Delivery Sites and Patient Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: US totals include data from the territories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For purposes of these data, Community Health Centers (CHCs) include Federally-Qualified Health Centers (FQHCs), which meet federal health center requirements and receive federal grants under Section 330 of the Public Health Service Act. Other community health centers known as ""look-alikes,"" which also meet federal health center requirements but do not receive Section 330 grants, are not included. There are approximately 100 look-alikes nationwide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Key Health Center Data by State, Federally-Funded Health Centers Only: [2018](http://www.nachc.org/wp-content/uploads/2019/07/Key-Facts-By-State-2018-UDS-1.pdf), [2017](http://www.nachc.org/wp-content/uploads/2018/08/Key-Health-Center-Data-by-State-2018FINAL.pdf), [2016](http://www.nachc.org/wp-content/uploads/2017/11/Key-HC-Data-by-State-2016-11.2.17.pdf), [2015](http://www.nachc.org/wp-content/uploads/2016/10/Key-Health-Center-Data-by-State_2015.pdf), [2014](http://nachc.org/wp-content/uploads/2015/06/KeyFactsbyState2014.pdf), [2013](http://nachc.org/wp-content/uploads/2015/06/2013-Key-facts-by-state-data.pdf). National Association of Community Health Centers (NACHC); accessed September 2019. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Insurance Coverage of the Total Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by the Kaiser Family Foundation. ACS includes a 1% sample of the US population and allows for precise state-level estimates.    The ACS asks respondents about their health insurance coverage at the time of the survey. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage.  For example, a person reporting having Medicaid coverage and another type of coverage would be categorized as having Medicaid coverage in this analysis. * The count of people with Medicare excludes those who report having both Medicare and Medicaid coverage, also known as dual eligibles. If these individuals were instead categorized as having Medicare, the total number of people with Medicare would increase as follows:<br>      - 2018: from 43,837,300 to 54,685,100</br><br>      - 2017: from 42,802,900 to 53,401,400</br><br>      - 2016: from 41,628,600 to 52,099,100</br><br>      - 2015: from 40,558,200 to 50,747,800</br><br>      - 2014: from 39,364,700 to 49,231,400</br><br>      - 2013: from 37,939,800 to 47,515,000</br><br>      - 2012: from 36,470,400 to 46,081,400</br><br>      - 2011: from 35,074,700 to 44,427,200</br><br>      - 2010: from 34,335,100 to 43,246,000</br><br>      - 2009: from 33,037,500 to 41,876,400</br><br>      - 2008: from 32,115,800 to 39,037,500</br><br> Data may not sum to totals due to rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The ACS asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy: *Medicaid*: Includes those covered by Medicaid, Medical Assistance, Children's Health Insurance Plan (CHIP) or any kind of government-assistance plan for those with low incomes or a disability, as well as those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare. *Medicare*:  Includes those covered by Medicare, Medicare Advantage, and those who have Medicare and another type of non-Medicaid coverage where Medicare appears to be the primary payer. Excludes seniors who also report employer-sponsored coverage and full-time work, and those covered by Medicare and Medicaid (dual eligibles). *Employer*: Includes those covered through a current or former employer or union, either as policyholder or as dependent *Military*: Includes those covered under the military or Veterans Administration *Non-Group*: Includes those covered by a policy purchased directly from an insurance company, etiher as policyholder or as dependent *Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only. *N/A*: Estimates with relative standard errors greater than 30% are not provided. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health Insurance Coverage of the Total Population, Multiple Sources of Coverage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
